,backside,Kanji,Keyword,Meaning,Alternative Meaning,On readings,Kun readings,Emphasis***,dummy_kana,Level,ONmem,KUNmem,MEANINGmem,Common words,KUNexample,Extra words,Old level,Nanori,Example,Components,No of strokes,Radical,Traditional form,Classification,Koohi Story 1,Koohi Story 2,RTK index (new),Tag,waniplus_level,waniplus_id,waniplus_srs
凄,"すご.い　セイ　horrible, uncanny, weird",凄,nifty,"uncanny, weird, threatening, horrible",,セイ,すご.い 、すさ.まじい,kunyomi,,61,,,,"すごいcommon 【凄い】terrible;  dreadful;  
ものすごいcommon 【物凄い】earth-shattering;  staggering;  to a very great extent;  terrible;  frightful;  horrible 例文
すさまじいcommon 【凄まじい · 凄じいirregular】terrific;  fierce;  terrible;  tremendous;  dreadful;  awful;  amazing;  absurd;  cutthroat;  intense 例文
せいえん 【凄艶】weirdly beautiful",,,,,凄い(すごい): (1) terrible; dreadful (2) amazing (e.g. of strength); great (e.g. of skills); wonderful; terrific (3) to a great extent; vast (in numbers)<br>物凄い(ものすごい): earth-shattering; staggering; to a very great extent; terrible; frightful; horrible,冫: two-stroke water radical or ice radical (no. 15)<br>妻: wife; spouse,10,冫,(none),形声 Phonetic,His wife has a nifty way of making all types of ice cream in her home freezer.,Sugoi! Sugoi! Ice Wife Sugoi!,2036,JLPT.N0 gradeS kanjifreq2001-2500,1,,7
几,"キ　おしまずき　table, methodological",几,"table, table enclosure, table or windy radical (no. 16)","table, table enclosure, table or windy radical (no. 16)",,キ,おしまずき　つくえ,onyomi,,61,,,,"きちょうめんcommon 【几帳面】methodical;  punctual;  steady
几案　きあん
机下　きか
おしまずき",,,,,,,,,,,,,,JLPT.N0 ShouldSuspend gradeS+,1,,8
凧,たこ　kite,凧,kite,"kite, (kokuji)",,,たこ,kunyomi,,61,,,,凧,,,,,,几: table; table enclosure; table or windy radical (no. 16)<br>巾: towel; hanging scroll; width; cloth radical (no. 50),,,(none),,"""I'm drying myself at the 露天風呂 (outdoor hot spring) when a sudden gust of wind catches my towel and blows it into the air. I chase after it and onlookers remark, """"Look, he's flying a kite!"""".""","""If the wind is strong enough, even a towel makes a good kite.""",2265,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou kanjifreq2001-2500,1,,8
凭,もた.れる　よ.る　lean on,凭,"lean on, recline on, lie heavy","lean on, recline on, lie heavy",,,もた.れる、よ.る,kunyomi,,61,,,,"もたれるcommon 【凭れる · 靠れる】to lean against;  to lean on;  to recline on;  
よりかかるcommon 【寄り掛かる · 寄りかかる · 凭り掛かる · 倚り懸かる · 寄り掛る】to lean against;  to recline on;  to lean on;  to rely on;  to depend onExample compounds:
もたれる	凭れる【もたれる】to lean against; to lie heavy (on the stomach)
よる	凭る【よる】to lean on; to rest against",,,,,,,,,,,,,,,1,,0
剃,そ.る　テイ　shave,剃,shave,shave,,テイ,そ.る、す.る,kunyomi,,61,,,,"かみそりcommon【剃刀】razor  —Usually written using kana alone.
そるcommon・する【剃る】to shave
ていはつ 【剃髪】tonsure;  cutting off the hair",,,,,剃刀(かみそり): razor<br>剃る(そる): to shave,弟: younger brother; faithful service to elders<br>刀: sword; saber; knife,,,(none),,The younger brother wants to look cool and shaves himself with a saber instead of a razor.,My younger brother looks like Sabretooth and needs to shave.,2271,JLPT.N0 ShouldSuspend gradeS+ kanjifreq2001-2500,1,,-1
剥,は.ぐ　む.く　ハク　peel,剥,peel off,"come off, peel, fade, discolor",,ハク,は.ぐ、む.く、へ.ぐ、 へず.る,kunyomi,,61,,,,"はくcommon 【剥】coming off;  peeling off;  being worn off;  faded;  discolored;  discoloured
むくcommon 【剥く · 剝】to peel;  to skin;  to pare;  to hull;  to bare (e.g. fangs);  to open wide (e.g. eyes)
はぐcommon 【剥ぐ】to tear off;  to peel off;  to rip off;  
はくだつ 【剥奪】deprivation;  divestiture;  revocation<br>はくせい 【剥製 · はく製】stuffing;  mounting / stuffed animal",,,,,剥く(むく): to peel; to skin; to pare; to hull<br>剥げる(はげる): (1) to come off; to be worn off (2) to fade; to discolor; to discolour<br>剥ぐ(はぐ): (1) to tear off; to peel off; to rip off; to strip off; to skin; to flay; to bark; to disrobe (2) to deprive of; to divest<br>剥がす(はがす): to tear off; to peel off; to rip off; to strip off; to skin; to flay; to disrobe; to deprive of; to detach; to disconnect,彑: pig's head radical variant (no. 58)<br>水: water<br>刀: sword; saber; knife,,,(none),会意 Compound Ideographic,Peel off the outside of the broom that sweeps up rice grains to reveal a saber.,"""A multi-purpose broom! It cleans, it sweeps (rice!), it hits! In fact, peel off the mahogany exterior to uncover a sabre! It slices, it dices, it kills!""",1227,JLPT.N0 gradeS kanjifreq2001-2500,1,,10
勾,コウ　かど.う　ま.がる　bent,勾,flexed,"be bent, slope, capture",,こう,,onyomi,,61,,,,勾配,,,,まがり,,勹: wrapping enclosure; wrapping radical (no. 20)<br>厶: I; myself; katakana mu radical (no. 28),4,勹,(none),会意 Compound Ideographic,Your elbow is bound up so that your biceps will stay flexed.,"My elbow was bound up in a cast, making it impossible to keep it flexed.",800,JLPT.N0 gradeS,1,,8
匂,にお.い　fragrant,匂,aroma,"fragrant, stink, glow, insinuate, (kokuji)",,,にお.い,kunyomi,,61,,,,"匂い,匂う",,,,"おり, こう, さぎ",匂い(におい): (1) odour; odor; scent; smell; stench (2) aura; whiff; smacks of ...; sense; flavour; flavor<br>匂う(におう): (1) to be fragrant; to smell (good) (2) to stink; to smell (bad) (3) to glow; to be bright,勹: wrapping enclosure; wrapping radical (no. 20)<br>匕: spoon; spoon or katakana hi radical (no. 21),4,勹,(none),国字 Original,The muchacho sits down bound up to enjoy his own aroma.,"If you bind up a person and let him sit for several days, an unpleasant aroma will result.",478,JLPT.N0 gradeS kanjifreq2001-2500 Kanji_Emotion.Sense_Sense,1,,8
匙,さじ　シ　spoon,匙,wooden spoon,spoon,,シ,さじ,kunyomi,,61,,,,"匙Example compounds:
シ	円匙【えんし】small shovel
さじ	匙【さじ】spoon",,,,,匙(さじ): spoon,是: just so; this; right; justice<br>匕: spoon; spoon or katakana hi radical (no. 21),,,(none),,"""After you get the wooden spoon in the """"egg & spoon"""" race another competitor explains that you need to hold the spoon """"just so"""".""",A spoon used to measure ingredients just so is a measuring spoon.,2900,JLPT.N0 ShouldSuspend gradeS+,1,,8
叩,たた.く　コウ　strike,叩,bash,"strike, beat, hit, thrash, criticize",,コウ,たた.く,kunyomi,,61,,,,"叩き,叩く
コウ        叩頭【こうとう】kowtow (bow made from a kneeling position wherein the forehead touches the ground)",,,,,叩く(たたく): (1) to strike; to clap; to knock; to dust; to beat (2) to play drums (3) to abuse; to flame (e.g. on the Internet); to insult (4) to use up money,口: mouth<br>卩: seal radical (no. 26),,,(none),,"""These &^% stamps won't stay fixed to the envelop when I lick them with my mouth. No matter how hard I bash them, they come loose every time. Aargh!""","""For me, the kanji looks like a picture of two eyes. Somebody bashed the right one until it burst open. Ugh... Put a stamp on it - I don't want to see it!""",2285,JLPT.N0 ShouldSuspend gradeS+ kanjifreq2001-2500,1,,8
只,ただ　シ　only,只,only,"only, free, in addition",,シ,ただ,kunyomi,,61,,,,"只管, ただ【只】ordinary;  common;  usual; / free of charge / only;  merely;  just;  simply
只今【しこん】just now",,,,,只(ただ): (1) ordinary; common; usual (2) free of charge (3) unaffected; as is; safe (4) only; merely; just; simply (5) but; however; nevertheless<br>只管(ひたすら): nothing but; earnest; intent; determined; set on (something),口: mouth<br>八: eight; eight radical (no. 12),,,(none),,Imagine an animal with only a mouth and legs.,"My girlfriend insists that the only thing I want from her is what´s between her legs.. She´s drawn me this pictograph to demonstrate. It´s a head and two legs spread apart.. I explain that I also love her breasts, and then she smacks me in the face. I´ll never understand women.. (I keep failing this kanji, hopefully this silly story will help me!).",55,JLPT.N1 ShouldSuspend gradeS+ jinmeiyou kanjifreq2001-2500,1,,8
叶,かな.う　grant,叶,within my ability,"grant, answer",,,かな.う,kunyomi,,61,,,,"叶う,叶える",,,,"かの, かのう","叶う(かなう): (1) to come true (wish) (2) to be suited (3) to match (implies competition); to rival; to bear (e.g. I can't bear the heat)<br>叶える(かなえる): (1) to grant (request, wish); to answer (prayer) (2) to fulfill (conditions); to meet (requirements)",口: mouth<br>十: ten,,,(none),,"""""""come true"""" is a better keyword IMO. If you speak your wish 10 times it will come true.""","""With his big mouth he claims he can do ten things at once. """"It's all within my ability"""", he boasts.""",2291,JLPT.N1 ShouldSuspend gradeS+ jinmeiyou kanjifreq2001-2500,1,,8
吃,どもる　キツ　stutter,吃,stammer,stammer,,キツ,ども.る,kunyomi,,61,,,,"吃る:
キツ        吃音【きつおん】stammering; dysphemia",,,,,吃逆(しゃっくり): hiccough; hiccup<br>吃驚(びっくり): (1) to be surprised; to be amazed; to be frightened; to be astonished (2) surprise (e.g. surprise party),口: mouth<br>乞: beg; invite; ask,,,(none),,"""""""S... Si... S... Sir!"""" the beggar's mouth stammers when appealing for some help from the business man. See the mouth open and close like a fish out of water would.""","""If you had a gun in your mouth begging for your life, you would stammer too.""",2293,JLPT.N0 ShouldSuspend gradeS+,1,,8
吊,つ.る　チョウ　hang,吊,dangle,"suspend, hang, wear (sword)",,チョウ,つ.る,kunyomi,,61,,,,"吊る
チョウ        懸吊【けんちょう】suspension",,,,,吊るす(つるす): to hang; to hang up<br>吊る(つる): (1) to hang; to suspend (something from something); to be hanged (by the neck) (2) to hoist an opponent off of his feet by his loincloth (sumo),口: mouth<br>巾: towel; hanging scroll; width; cloth radical (no. 50),,,(none),,Dangle a bib or towel under my baby son's mouth.,A towel dangles under his mouth to keep him clean at dinner.,2289,JLPT.N0 ShouldSuspend gradeS+ kanjifreq2001-2500,1,,3
咎,とがめる　キュウ　censure,咎,reprehend,"blame, censure, reprimand",,,とが.める,kunyomi,,61,,,,咎める,,,,,咎める(とがめる): to blame; to find fault; to challenge; to threaten; to take someone to task; to aggravate (an injury),各: each; every; either,,,(none),,Each time I see this kanji I reprehend the person primitive for knocking the each primitive out of shape.,"""You only reprehend him because he is reprehensible! He walks around kicking people, like he wants to dispose of them. And that's all on top of having a big mouth. Reprehensible! Of course you must be the one to reprehend him.""",2278,JLPT.N0 ShouldSuspend gradeS+,1,,3
咳,せ.く　せき　ガイ　cough,咳,cough,"cough, clear throat",,ガイ,せき、せ.く,kunyomi,,61,,,,"咳
ガイ        咳嗽【がいそう】coughing
謦咳【けいがい】cough; laughing and talking at the same time
謦咳に接する【けいがいにせっする】to meet someone in person; to have the pleasure of meeting
せく        咳く【せく】to cough
しわぶく        咳く【しわぶく】to cough",,,,,咳(せき): cough; coughing; tussis,口: mouth<br>亥: sign of the hog; 9-11PM; twelfth sign of the Chinese zodiac,,,(none),,"""I looked up, opened my mouth and suddenly an acorn fell in! I had to cough it up quickly so that I wouldn't choke.""",A squirrel's mouth coughs up an acorn.,2283,JLPT.N0 ShouldSuspend gradeS+,1,,3
唸,うな.る　groan,唸,"groan, roar","groan, roar",,,うな.る,kunyomi,,61,,,,唸る,,,,,,,,,,,,,,JLPT.N0 ShouldSuspend gradeS+,1,,3
唾,ダ　つば　つばき saliva,唾,saliva,"saliva, sputum",,ダ,つば、つばき,kunyomi,,61,,,,"ダ        唾液【だえき】saliva; sputum
唾液腺【だえきせん】salivary gland
唾棄【だき】contemptuous; despicable
つばき        唾【つばき】saliva; spit; sputum
天に向かって唾を吐く【てんにむかってつばきをはく】to spit into the wind; in trying to cause harm to another, one invites disaster upon onelself
つば        唾【つば】saliva; spit; sputum
眉唾物【まゆつばもの】fake; counterfeit",,,,,唾(つば): saliva; spit; sputum,口: mouth<br>垂: droop; suspend; hang; slouch,11,口,(none),形声 Phonetic,"When some people are sleeping, their mouths droop open, and saliva drips out.",Saliva drools from a mouth that droops. つば.,1706,JLPT.N0 gradeS Kanji_Body_Function,2,,3
喉,コウ　のど　throat,喉,throat,"throat, voice",,コウ,のど,kunyomi,,61,,,,"喉
コウ        耳鼻咽喉科【じびいんこうか】otorhinolaryngology; ear, nose and throat
咽喉【いんこう】throat",,,,,喉(のど): (1) throat (2) singing voice,口: mouth<br>侯: marquis; lord; daimyo,12,口,(none),形声 Phonetic,"I think of ""clearing your throat"". Some stuffy guy opens his mouth to clear his throat so the marquis can speak.",The Marquis de Sade was kinda gay. He used to mouth down a lot of deep-throat action.,1768,JLPT.N0 gradeS kanjifreq2001-2500 Kanji_Body_Head.Neck,2,,3
喧,ケン　やかましい　noisy,喧,clamor,"noisy, boisterous",,ケン,やかま.しい、 かまびす.しい,onyomi,,61,,,,"口喧嘩,喧嘩",,,,,喧嘩(けんか): quarrel; brawl; fight; squabble; scuffle<br>喧しい(やかましい): (1) noisy; boisterous (2) strict; faultfinding; carping; fussy,口: mouth<br>宣: proclaim; say; announce,,,(none),,To clamor means to open your mouth and proclaim loudly your opinions.,"""For this keyword, I am reminded of the Night Before Christmas, with the father awakening to see what was the clamor, and his mouth dropping open as he sees the fat bearded man spanning the rooftops (bounding from one house to the other).""",2284,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou kanjifreq2001-2500,2,,3
喩,ユ　metaphor,喩,"metaphor, compare","metaphor, compare",,ユ,,onyomi,,61,,,,比喩,,,,,,口: mouth<br>兪: steal,12,口,(none),形声 Phonetic,,,308,JLPT.N0 gradeS,2,,3
嗅,か.ぐ　キュウ　sniff,嗅,"smell, sniff, scent","smell, sniff, scent",,キュウ,か.ぐ,kunyomi,,61,,,,"嗅ぐ
キュウ        嗅覚【きゅうかく】sense of smell; olfaction
嗅神経【きゅうしんけい】olfactory nerve",,,,,嗅ぐ(かぐ): to sniff; to smell,口: mouth<br>臭: stinking; ill-smelling; suspicious looking; odor; savor; fragrance; be fragrant; stink; glow; be bright,13,口,(none),会意 Compound Ideographic,Your mouth stinks: you need to sniff your breath.,"You open your mouth and gasp for air, 1 sniff of that stinking chihuahua is too much. *Edited thecite's to reflect the keyword in the supplement.",129,JLPT.N0 gradeS kanjifreq2001-2500 Kanji_Emotion.Sense_Sense,2,,3
嘘,うそ　lie,嘘,fib,"lie, falsehood",,,うそ、 ふ.く,kunyomi,,61,,,,"嘘,嘘つき",,,,,嘘(うそ): (1) lie; falsehood; incorrect fact (2) Really!; Unbelievable!; No way!<br>嘘つき(うそつき): liar (sometimes said with not much seriousness); fibber,口: mouth<br>虚: void; emptiness; unpreparedness; crack; fissure; untruth,,,(none),,うそ = Something void of truth coming from your mouth.,A statement void of truth uttered by a mouth is a fib.,2286,JLPT.N0 ShouldSuspend gradeS+ kanjifreq2001-2500,2,,3
嘩,カ　かまびす.しい　noisy,嘩,quarrel,noisy,,カ、 ケ,,onyomi,,61,,,,"口喧嘩,喧嘩",,,,,喧嘩(けんか): quarrel; brawl; fight; squabble; scuffle,口: mouth<br>華: splendor; flower; petal; shine; luster; ostentatious; showy; gay; gorgeous,,,(none),,Mouths quarrel over who is more splendid.,These very competitive neighbours open their mouths and quarrel every day about whose silage stack with flowers looks more splendid.,2281,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou,2,,
嘲,チョウ　あざ.ける　ridicule,嘲,derision,"ridicule, insult",,チョウ,あざけ.る,kunyomi,,61,,,,"嘲る
チョウ        自嘲【じちょう】self-deprecation; self-derision; self-mockery; laughing at oneself
冷嘲【れいちょう】cooling (something)
嘲弄【ちょうろう】scorn; mockery; ridicule",,,,,,口: mouth<br>朝: morning; dynasty; regime; epoch; period; (North) Korea,15,口,(none),形声 Phonetic,"When I wake up, I am always late, so I hurry to work. With a bad case of perpetual morning breath, I am the subject of derision at my office whenever I open my mouth.","If morning breath emanates from your mouth, you are subject to derision!",54,gradeS JLPT.N0 marked,2,,
嘴,くちばし　シ　beak,嘴,"beak, bill","beak, bill",,シ,くちばし、 はし,kunyomi,,61,,,,"嘴
砂嘴【さし】spit (geography); sandbank",,,,,,,,,,,,,,,2,,
噂,うわさ　rumor,噂,gossip,"rumor, gossip, hearsay",,,うわさ,kunyomi,,61,,,,噂,,,,,噂(うわさ): rumour; rumor; report; hearsay; gossip; common talk,口: mouth<br>尊: revered; valuable; precious; noble; exalted,,,(none),,"""If you open your mouth to gossip about people, it's usually the most fun if you have some juicy bits on people who are generally revered, for instance that they are secretly glued to their bottle of Horned Whiskey.""","""""""Did you know that the most revered (#1439) chieftain (#2906) is not only a horny guy, but an alcoholic, too? Ah, and I forgot, he also sniffs glue... Ups, did that come out of my mouth? No, no... I NEVER gossip!"""".""",2282,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou kanjifreq2001-2500,2,,
噛,か.む　ゴウ　chew,噛,chew,"chew, bite, gnaw",,ゴウ,か.む、 か.じる,kunyomi,,61,,,,"噛み付く,噛む
ゴウ        窮鼠噛猫【きゅうそごうびょう】A cornered rat will bite the cat; One who is cornered will fight like a devil",,,,,"噛む(かむ): (1) to bite; to chew; to gnaw (2) to crash against (e.g. of waves); to break onto (shore) (3) to engage (of cogs, zippers, etc.); to mesh; to fit together (4) to be involved in (5) to fumble one's words (during a play, broadcast, etc.); to falter with one's words (6) to strongly confute; to argue down; to rebuke; to scold harshly<br>噛る(かじる): (1) to chew; to bite (at); to gnaw; to nibble; to munch; to crunch; to have a smattering of (2) to dabble in (e.g. hobby, instrument)<br>噛み切る(かみきる): to bite off; to gnaw through",口: mouth<br>齒: tooth; cog,,,(none),,Use your teeth to chew what you put in your mouth.,"""""""When you open your mouth, don't take in more food than you can handle, and chew it properly with your teeth"""", mum told us.""",2290,JLPT.N0 ShouldSuspend gradeS+ kanjifreq2001-2500,2,,
嚇,カク　おど.かす　threaten,嚇,upbraid,"menacing, dignity, majesty, threaten",,カク,,onyomi,,61,,,,威嚇,,,,,,口: mouth<br>赫: suddenly; brighten; illuminate; light up,17,口,(none),形声 Phonetic,"To upbraid someone, you criticize them in a menacing way. In other words, you jaw at them with your MOUTH until both sides of their face turn RED (hence the double-red).","Tip: Heisig later names 赫 ""red + red"" as incandescent (#2908). Story: ""So the boss upbraided you, huh?"". ""Yep, his mouth was incandescent.",2182,JLPT.N1 gradeS kanjifreq2001-2500,2,,
囀,さえずる　chirp,囀,"sing, chirp, warble, chatter","sing, chirp, warble, chatter",,,さえず.る,kunyomi,,61,,,,囀る,,,,,,,,,,,,,,JLPT.N0 ShouldSuspend gradeS+,2,,
垢,あか　コウ　ク　dirt,垢,blemish,"dirt, grime, earwax",,コウ、ク,あか、 はじ,kunyomi,,62,,,,"垢xample compounds:
コウ	歯垢【しこう】(dental) plaque
耳垢【じこう】earwax; cerumen
恥垢【ちこう】smegma
ク	無垢【むく】purity
金無垢【きんむく】pure gold
清浄無垢【せいじょうむく】purity; spotlessness",,,,,垢(あか): dirt; filth; grime,土: soil; earth; ground; Turkey<br>后: empress; queen; after; behind; back; later,,,(none),,Big consternation in the court! A little bit of soil in the garden touched the empress' face and left a blemish there. Courtiers fainted left and right...,The empress gets a soil mask at the spa to treat a blemish.,2302,JLPT.N0 ShouldSuspend gradeS+,2,,
堆,タイ　ツイ　うずたか.い　piled high,堆,piled high,piled high,,タイ、 ツイ,,onyomi,,62,,,,堆積,,,,,,土: soil; earth; ground; Turkey<br>隹: bird; old bird radical (no. 172),11,土,(none),形声 Phonetic,"After our pre-Thanksgiving massacre, we piled high all the turkey corpses atop the soil of the farmyard.","During the Turkey Holocaust (this is what the animal kingdom calls Thanksgiving - they have really short memories and thus don´t recall that it actually happens every single year), turkeys are killed en masse, and their bodies are piled high. To keep them from tumbling down, a pile of dirt is piled high right next to them to keep them standing upright so that they will be fresh when it is time to eat them.",596,JLPT.N0 gradeS kanjifreq2001-2500,2,,
塞,ふさ.ぐ　ソク　サイ　block up,塞,block up,"close, shut, cover, block, obstruct",,ソク、サイ,ふさ.ぐ、 とりで、 み.ちる,kunyomi,,62,,,,"塞がる,塞ぐ
ソク        脳梗塞【のうこうそく】stroke (blocked blood vessel in brain); cerebral infarction
心筋梗塞【しんきんこうそく】heart attack; myocardial infarction
閉塞【へいそく】closure; blockage
サイ        要塞【ようさい】fort; stronghold; fortification
防塞【ぼうさい】fort",,,,,塞がる(ふさがる): (1) to be closed; to be blocked; to be healed (e.g. wound); to be shut up (2) to be clogged; to be plugged up (3) to be occupied; to be taken (e.g. accommodation)<br>塞ぐ(ふさぐ): to stop up; to close up; to block (up); to occupy; to fill up; to take up; to stand in another's way; to plug up; to shut up,宀: shaped crown; katakana u radical (no. 40)<br>三: three<br>八: eight; eight radical (no. 12)<br>土: soil; earth; ground; Turkey,13,土,(none),会意 Compound Ideographic,The A/C wasn´t making the house cold because the filters had been blocked up with dirt.,"It was so cold (#1526), the pipes blocked up with ice. After removing the ice, we insulated them with soil.",1646,JLPT.N0 gradeS,2,,
壺,つぼ　コ　jar,壺,"jar, pot","jar, pot",,コ,つぼ,kunyomi,,62,,,,"壺
コ	壺【こ】hu (ancient Chinese vessel shaped like a vase, usually used to store alcohol)",,,,,,,,,,,,,,JLPT.N0 ShouldSuspend gradeS+,2,,
夥,おびただ.しい　カ　plentiful,夥,plentiful,"immense, tremendous",,カ,おびただ.しい,kunyomi,,62,,,,"夥しい
カ        夥多【かた】many; plentiful",,,,,夥しい(おびただしい): large number; innumerable; great many; immense; vast; abundant,果: fruit; reward; carry out; achieve; complete; end; finish; succeed<br>多: many; frequent; much,,,(none),,There are many fruits when they're plentiful.,"""When fruit is plentiful, it feeds many mouths. This could mean anything that is vast or abundant.""",2950,JLPT.N0 ShouldSuspend gradeS+,2,,
